lugt;prix;monture;vocvalorisat;palaisete;datation;biblio;vocasiatique;pedigree;chine;japon;inconnu;porcelaine;bronze;cloisonne;estampe;laque;ancien;nbcaracteres;annee
23338;262;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;88;1857
23338;263;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;84;1857
23338;270;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;100;1857
23338;270;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;63;1857
23338;275;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;182;1857
23338;275;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;108;1857
23338;275;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;102;1857
23338;280;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;39;1857
23338;280;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;189;1857
23338;280;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;86;1857
23338;280;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;69;1857
23338;280;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;131;1857
23338;299;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;48;1857
23338;299;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;63;1857
23338;300;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;110;1857
23338;300;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;119;1857
23338;300;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;51;1857
23338;300;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;102;1857
23338;300;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;153;1857
23338;300;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;74;1857
23338;301;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;115;1857
23338;301;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;131;1857
23338;305;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;69;1857
23338;305;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;106;1857
23338;312;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;111;1857
23338;315;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;114;1857
23338;320;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;115;1857
23338;330;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;93;1857
23338;330;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;104;1857
23338;330;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;187;1857
23338;340;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;69;1857
23338;340;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;62;1857
23338;350;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;114;1857
23338;360;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;76;1857
23338;360;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;73;1857
23338;360;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;137;1857
23338;361;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;71;1857
23338;365;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;75;1857
23338;370;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;176;1857
23338;375;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;122;1857
23338;380;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;46;1857
23338;385;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;37;1857
23338;385;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;77;1857
23338;385;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;105;1857
23338;390;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;249;1857
23338;395;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;99;1857
23338;400;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;48;1857
23338;400;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;128;1857
23338;400;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;124;1857
23338;400;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;90;1857
23338;405;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;164;1857
23338;410;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;90;1857
23338;413;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;86;1857
23338;415;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;110;1857
23338;420;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;88;1857
23338;430;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;68;1857
23338;440;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;41;1857
