identifiant;titre
5300;Pierre dure
529;La vallée d'Aure vers Sarrancolin
530;La Neste d'Aure à Hèches
531;La vallée d'Aure : temps d'orage
532;Salies-de-Béarn : panorama
1207;Sous-bois
1208;Gros chêne, à Talence
1209;Arbre, en printemps
1210;Ferme, à Léognan
1211;Nature morte
1212;Haute-vallée d'Aure
1213;Divers
1850;La plage des Abatilles
1851;Un coin du Parc-Bordelais
1852;Qui est-ce ?
1853;Une jolie blonde
1854;Paysage
2547;Etude de nu
2548;La vallée d'Aspe à Sarrance
2549;La vallée d'Aspe vers Bedous
2550;La gorge d'Esquit (Vallée d'Aspe)
2551;Lescun et le pic d'Ami (Vallée d'Aspe)
2552;Le Port de Bordeaux (Navire à quai)
2553;Fleurs
3175;Sous-bois au printemps, Soussans (Médoc)
3176;Sous-bois en automne, Soussans (Médoc)
3177;Toits sous la neige, rue Leyteire
3178;Nature morte
4563;Clairière près Toctoucau
4564;Chemin des Fontaines, à Gazinet
4565;Ferme, au printeps, Gazinet
4566;Le mont de Gez (vu du parc d'Argelès)
4567;Le Gabizos (vu de Couture-Bague)
7461;La vallée de Lourdes (Un jour de printemps)
7462;La vallée de Lourdes (Un jour d'hiver)
7853;Vers Romainville, en été
7854;Portrait de M. A. P…
9334;Dessin
9335;Banlieue
9501;Peinture
9502;Dessin
9503;Dessin
9662;Nocturne
9663;Paysage
9664;Paysage
9803;Peinture
9804;Peinture
533;Figure
534;Paysage
5165;Portrait petite fille
5166;Paysage de Provence
8336;Le Monsieur à l'œuf
8337;Ferraille foraine
8586;Femme en noir
8729;Don Quichotte et Sancho Pença
2554;Japonaiseries
2555;Les Kakis
3179;Harmonie blanche
6327;La poupée rose
6328;Tête d'enfant (Fillette)
6329;Tête d'enfant (Garçonnet)
6330;Négresse
6331;Nature morte. Crocodile
6332;Nature morte. Coquillage
6333;Nature morte. Géranium
9088;Nature morte
9089;Le bateau
9090;La cruche
9336;Paysage en Provence
9337;Nature morte
9504;Peinture
9505;Peinture
9506;Gouache
9507;Gouache
9508;Gouache
9665;Composition
9666;Composition
9667;Paysage
9805;Peinture
9806;Peinture
8195;Pontenx-les-Forges (Landes)
8196;Aureilhan (Landes)
1857;Effet de pluie sur la Loire
1858;Bords de la Loire en avril
2556;La Loire à Diou, temps gris
2557;Le village de la Marche
3180;Après la pluie, Sancerrois
3181;La Loire à Nevers
535;Nu couché
536;Vase de roses
537;Vase de marguerites
538;Enfant lisant
539;Fleurs et coquillages
540;Fleurs et éventail
1214;Peinture
1215;Peinture
541;Pont de Centujean, à Bègles
542;Pont : le matin à Bègles
543;Le chemin des ruines (Cubzac-les-Ponts)
544;Maisons au soleil (Cubzac-les-Ponts)
545;Les ruines (Cubzac-les-Ponts)
546;Chemin Frédéric-Sévène, à Talence
6899;Pont sur le canal
6900;Paysage décoratif, cam.
6901;Port de Bordeaux, comp.
6902;Le commissionnaire, comp.
6903;La pêche en Garonne, composition
6904;Coin du Marché Royal, Bordeaux, composition
6905;Un cadre, 1 illustration
6906;Un cadre, 6 petites ill.
5763;Le Guiers mort à St-Laurent-du-Pont (Isère)
5764;St-Pierre-de-Chartreuse (Isère)
5765;Etang de St-Etienne-de-Crossey (Isère)
5766;Soirée à St-Laurent-du-Pont
5767;Orage sur Entre-deux-Guiers (Isère)
5768;Automne dans l'Isère
5769;Lac d'Aiguebette (Isère)
5770;Fleurs - Glaïeuls
5771;Fleurs - Œillets de Chine
6338;Coucher du soleil à St-Laurent
6339;Lac d'Aiguebelette
6340;Entrée du village de St-Laurent
6341;Effet d'orage
6342;Effet de nuit à St-Laurent
6343;Les Guiers Utort à St-Laurent
6344;Miribelles - Echelles
6345;Nature morte
6346;Fusain
6347;Portrait
9338;Portrait
9339;Paysage
9509;Les Sables-d'Olonne
9510;Les Sables-d'Olonne
9511;Le port des Sables-d'Olonne
9854;Les Sables-d'Olonne
3914;Châtaigniers et bruyères (Vallée de Chevreuse)
3915;Jardins à Arcueil
3916;Usines sous la neige à Saint-Denis
8587;Les Paysans
8841;Communion
6419;Profil de droite auréolé
6420;Le papillon rouge
6421;L'araignée noire
6422;Profil de femme (composition)
6423;Propriété Redon à Peyrelebade
6424;La chasse aux lions (copie de Delacroix)
6425;Le chemin
6426;Fleurs au vase bleu
6427;Portrait d'Ari Redon
6428;L'abandonnée
6429;Le silence
6430;Orphée
6431;Le Christ
6432;Le sommeil de Caliban
6433;Cheval cabré (dessin au pinceau)
6434;Femme assoupie (dessin)
6435;Portrait d'Odilon Redon par lui-même
6436;Paysage
6437;Bateaux pêcheurs
6438;Pégase
6439;Quadrige
6440;Aquarium
6441;L'automne à Bièvres
6442;Barques
6443;Profil d'homme
6444;L'arbre
6445;Les croisés
6446;Vers la lumière
6447;Venise, le port des pêcheurs
6448;Sainte-Thérèse
6449;Portrait de Madame F… (pastel)
6450;Pégase captif (lithographie)
6451;La musique céleste
6452;Fusain
6453;Profil de lumière
8638;Profil de lumière
8842;Rythmes
8843;Composition rythmée
5171;6 Etudes
5172;12 Etudes
9512;Peinture
547;Nature morte
548;Fleurs
1859;Coucher de soleil
1860;Les bords d'un ruisseau
1861;Les genêts
2558;Au marché (détrampe)
2559;Porteur de poissons (détrampe)
549;Figure
550;Paysage
783;"Gabriel Faure : ""Aux lacs italiens"" (livre)"
784;"Henri Ferrand : ""Grenoble"" (livre)"
785;"P. Devoluy et P. Borel : ""Au gai royaume de l'azur"" (livre)"
786;"Roger Tissot : ""Au Mont Blanc"" (livre)"
787;"Gabriel Faure : ""Rome"" (livre)"
788;"Raoul Blanchard : ""La Corse"" (livre)"
789;"Henry Debraye : ""En Touraine"" (livre)"
790;"Camille Mauclair : ""La Normandie"" (livre)"
791;"Armand Praviel : ""La Cöte d'Argent"" (livre)"
792;"Paul Guiton : ""Au cœur de la Savoie"" (livre)"
793;"Deux reproductions encadrées de ""Visions d'Espagne"", par Vernon Hour Bailey"
794;Deux reproductions d'aquarelles de Pierre Vignal
6348;Le Jas de Bouffan
6349;Coteau Provençal
5173;La Garonne à Gauriac
5174;Vers Boutaut
5175;L'Usine à gaz
5176;Eté
5772;Poupée bleue
5773;Espagne
5774;Le château de Grézolles, Loire
5775;Paysage
6350;Coin d'atelier
6351;Bourg-sur-Gironde. Porte de la mer
6352;Le canon
6353;Le pin (Andernos)
6354;Effet d'orage
6355;La boulasse de M. Piccatier
6356;Le père Toine
6357;Maquette d'enseigne pour l'hostellerie Giroud à St-Germain, Laval (Loire)
6907;Paysage de juillet
6908;Fleurs
6909;Les poules
6910;Les pins
6911;Fleurs
7855;Fleurs
8197;Le pont
551;Quatre aquarelles
552;Deux dessins
8198;Brume d'automne
1328;Glaces à main : Ovale, bois doré et laqué (jasmin)
1329;Glaces à main : Bois patiné (giroflé)
1330;Glaces à main : Ovale, bois patiné
1331;Glaces à main : Ronde, bois patiné
1332;Lampes électriques (roses) (Sur commande)
1333;Pendule sans mouvement (Sur commande)
1334;Vide-poche chêne
1335;Coupe-papier
1336;Un lampadaire équipé (sans abat-jour)
1337;Glaces murales
1952;Glace murale (acajou)
1953;Lampadaire (acajou)
2679;Vitrine en bois noyer, contenant :
2680;Un coffret bois noyer poterie
2681;Presse-livre (acajou)
2682;Devant de diffuseur
2683;Glace à main (bois doré laqué) (jasmin)
2684;Glace à main (bois acajou)
2685;Coupe-papier (bois corail)
2686;Coupe-papier (bois teck) (muguet)
2687;Vide-poche (bois chêne)
2688;Lampadaire (bois noyer)
3380;Glace, salle à manger (acajou)
3381;Table à thé (acajou)
3382;Presse livre (acajou)
3383;Panneau décoratif (bois sculpté)
7861;Un noir (Stalag VII A)
7862;Les Péniches. Suresnes
7863;Saint-Sever. L'église
7864;Hossegor. Le lac
7865;Hossegor. La dune
7856;Harmonie mauve et verte. Cathédrale de Chartres
7857;Bidarray (Pays basque)
7858;Saint-Saturnin (Auvergne)
7859;Matin blond. Bourges
7860;Les escaliers. Saint-Saturnin (Auvergne)
1216;Paysage
1217;Ferme basque
1218;Vase et fleurs
1219;Etude
5776;Nu
5777;Paysage
5778;Paysage
5779;Paysage
5780;Paysage
1220;Vieille rue (La Turbie)
1221;Route ensoleillée
1222;En pays basque
3182;Paysage de Provence
3183;Jeune femme endormie
1223;"""Sud-Express"" (film de Maurice-J. Champel) (AF)"
1224;Projet d'affiche pour appareils photographiques
1225;Projet d'affiche pour le Salon d'aviation de Bordeaux
1226;Projet de couverture pour le catalogue d'une maison de couture
1227;Projet de publicité pour chapeaux de feutre
1862;Projet d'affiche pour la Foire de Bordeaux
1863;Projet d'affiche. Sous-vêtement du docteur Rasurel
1864;Projet d'affiche Automobiles Citroën
1865;Projet d'affiche Huiles Kervoline
1866;Projet d'affiche Corset Sirène
1867;Projet d'affiche publicité Maison Jane Lanvin
1868;Projet de couverture catalogue Familia
1869;Composition
3184;"""Judith"" de Jean Giraudoux (maquette)"
3185;Affiche du Bal de la Presse 1931
3186;"""Tentation"" (composition)"
3187;Dans la griffe des jauniers d'Yvonne Sculptz (composition)
3188;"""La mort du cubisme"" (composition)"
3189;"""Critique rétrospective"" (composition)"
3190;"""Tête de nègre"" (étude)"
5871;Projet d'affiche pour la Foire de Paris
5872;Projet d'affiche pour les Fêtes de Paris
5873;Projet d'affiche pour championnat de tennis
6414;"""Les Races"""
6415;"""Il était une fois"""
6416;"""Kodak"""
6417;"""La Société Actuelle"""
6418;"""Cyma"""
6967;L'inconnue d'Arras (Affiche)
6968;Le mariage de Le Trouhadec (Affiche)
7395;Buste de l'humoriste Pedezert
7396;Buste d'enfant (Sculpture)
7397;Buste de Mme H.
7762;Jeune fille à la tresse. Buste (Plâtre)
8096;Petit Saint-Jean (Terre cuite)
3191;La côte des Basques, Biarritz
3192;Impression de plage, Biarritz
3370;Tête de femme (plâtre)
7398;Buste de M. B. (Plâtre)
7399;Buste d'enfant (TC)
7400;Nu
7401;Petit nu
7763;Buste de M. Jean-Gabriel L… (Plâtre)
7764;Buste de Mme Germaine G… (Bronze)
8097;Buste de Mme Richard Chapon (Sc. pierre)
8098;Buste de M. Ferdinand Piéchaud (Sc. bronze)
8099;Nu (Sc. marbre)
8370;Baigneuse allongée
8486;Buste de R. Caudewell
8487;Buste de Françoise
8488;"Groupe de ""Chasseresses"""
8588;"""Jeanne-Marie"""
8769;Buste d'homme (bronze)
9059;Femme assise (terre cuite)
9340;Gisant (Etude pour le Monument aux Morts de la Bresse (Vosges))
9513;Dormeuse (terre cuite)
9668;Modèle pour la médaille d'Odilon Redon
9807;Nu debout
5177;Retour du marché
5178;Fleurs
5179;Etretat
5180;Portrait aux 3 crayons
5181;Hommage à lady Chatterley
5182;Paysage du Midi
5945;Nature morte
5946;Paysage de Provence
8417;Désastre
553;Paysage parisien
554;Paysage parisien
555;Parade foraine
1228;Portrait de Mlle S. M.
1229;Nature morte, fruits
1230;Portrait de M. D.
1231;Paysage Montgaillard
1870;Marseille
1871;Fleurs
2560;Composition, statue
2561;Composition bateau à voiles
4568;Paris, place St-Germain-des-prés et boulevard St-Germain
5183;Le Pont de Sèvres
5184;Bouquet de Silènes
2570;Nu au fauteuil bleu
2571;Portrait de Loye
2572;Nu
2573;Nature morte au petits Sioux
2574;Figues et roses
3193;Sonia
3194;Nu couché
3195;Nature morte au citron
3196;La Rochelle (entrée du Port)
3197;Les fleurs jaunes
3917;Leïla
3918;Fleurs
3919;Collioure
3920;Portrait
3921;La petit Hélène
3922;Les enfants de Jeanne
4569;La communiante
4570;Le bouquet
4571;Composition (L'Orlando Furioso)
4572;Le Cimetière (Collioure)
4573;Le cimetière gris
4574;Mme P. L.
4575;Le beau modèle
4576;Grimaud - de ma fenêtre
4577;L'Entrée du port (La Rochelle)
4578;Le port de La Rochelle (sortie)
4579;L'arc de Constantin
4580;Ruines du Mont Palatin
5185;Le comice Agricole
5186;Les Barques - Collioure
5187;Sainte Anne - St Tropez
5188;Trois visages
5189;Fouras
5190;Les Lavandières
5781;Les Souhaits à la Mariée (Maquette de écoration Murale)
5782;Le Kléber (St-Tropez)
5783;Lelo - Rome
5784;La Femme au Turban
5785;Portrait
5786;Bièvres
5787;Grimaud - Paysage
5788;Le Bateau - St-Tropez
5789;Les Bateaux
5790;Vue de St-Tropez
5791;Vue de St-Tropez
6358;Mer-ar-Haz
6359;Nature morte au pot cassé
6360;La Maison Blanche - St Tropez
6361;Environs de Collioure
6362;Les coquillages
6363;Le petit Jean
6912;Mel-Ar-Haz
6913;Marie-Madeleine Machet
6914;Nature morte au Rideau violet
6915;L'étang
8338;Composition
8339;L'enfant pensif
8340;Le repos
8489;Le vase au lézard
8490;Bouquet de printemps
2562;Castelnaud (Dordogne)
2563;Après dîner
2564;Fleurs
2565;Vieille rue à Périgueux
2566;Le Pas du miroir (rochers sur la Vézère)
2567;Collonges (Corrèze)
2568;Collonges (Corrèze)
2569;Beynac (Dordogne)
3198;Pommiers en fleurs
3199;Noyers
3200;Une maison en Sarladais
3201;Nature morte (coloquintes)
3202;Un village en Sarladais
3203;Le soudeur
3204;Une maison en Sarladais
7463;Paysage basque
7464;Temps gris
7866;La fête d'Arneguy
7867;Pinasses
8199;Allée de chènes
7142;Petit nu au miroir espagnol
7143;La route d'Urrugne
7144;La Rhune vue de Legareta
7145;Le sardinier bleu (St-Jean-de-Luz)
7146;Dans le port de St-Jean-de-Luz
7147;En Castille
7148;Ségovie et le Guadarrama
7149;Le pont de Ciboure vers 1820
7150;Portrait de Mme F.
7151;Jeune fille
7152;L'ex-voto (Eglise de St-Jean-de-Luz)
7153;Cordilleta (Maison basque)
7154;Sur le quai de l'Infante à St-Jean-de-Luz
7155;A Pasages de San Pedro
7597;Œuvres diverses
7961;Portrait de Mlle C…
7962;Portrait de Mlle H…
7963;Portrait de M. P…
7964;Portrait de Mlle N…
7965;Portrait de Mlle C.R…
7966;L'église de Cibits au Pays Basque
7967;Portrait de M. H…
5352;Nature morte
8589;Etude pour le Saint-Martin
2575;Coin de champ en mai
2576;Fleurs d'acanthe et fougères
3923;Golgotha
3924;In saecula saeculorum
3925;Chaudronniers
3926;Le festin de Balthazar
3927;Retour du calvaire
4581;Gitana
4582;Coin d'atelier
4583;Carème
4584;Garçonnet
4585;Espana
4586;Veillée
4587;Fillette
4588;Neska
4589;XXe siècle
4590;Monjuich 1909
4591;Fleurs
4592;"D'après ""Nana"""
5191;Contemplation
5192;Nature morte
5193;Nature morte
5194;Nature morte
5195;Nature morte
9341;Les modèles
2577;Coin de jardin
2578;Table de cuisine
2579;Tennis
2580;Pêches et vin vieux
2581;Soucis
2582;Etude
2583;Coin de salon
2584;Dahlias
2585;Cruche et raisins
9183;Paysage breton (1912)
9184;Paysage des Dolomites (1913)
9185;Nativité (vers 1920)
5200;Céramique
8639;Paysage
3933;Bords du Ciron
3934;Soir
3935;Les gros mûriers
3936;Bassin à flot
2586;L'étang du Moutchic
2587;La maison du pêcheur (Lacanau)
2588;Argens (Aude)
2589;Fonfroide (Aude)
2590;Argens, le clocher (Aude)
3205;Cathédrale de Bordeaux, dans le brouillard
3206;Coin près du Parc bordelais
3207;Coin de Caudéran en hiver
3208;Ruisseau de Lézignan (Aude)
3209;Estey au Bouscat (prime printemps)
3210;Roulottes à Caudéran
3211;Un coin de Lagrasse (Aude)
3212;Ribause
3213;Paysage d'Aube
3928;La poupée cambodgienne (nature morte)
3929;Aubergines, melon et citrouille (nature morte)
3930;Les raisins de la Blanquetière (nature morte)
3931;Paysages de Caudéran
3932;Paysage de l'Aude
4593;Le corselet rose : nu
4594;Paysage d'Aude
4595;Paysage de Gironde
4596;Paysage
5196;Fillette aux eucalyptus
5197;Plage de Leucate
5198;La Méditerranée à Leucate
5199;Minerve cité Cathare
6916;La Méditerranée à Leucate
6917;Coin de Corbière
6918;Cabanes à Guissau-Plage
6919;Leucate-Plage
7402;Minervois
7403;Lacanau-Océan
7404;Lacanau-Océan
7405;La Méditerranée à Leucate
7406;4 aquarelles
7765;Banlieue
7766;Port de Bordeaux
7767;Saules en banlieue
7768;Arcachon. Pointe de l'Aiguillon
7769;Lacanau-Océan
7770;Les Corbières
8100;Garonne couleur de café crème
8101;Le Mourel (Corbières)
8102;Sur les sommets (Corbières)
8103;Les Garrigues rouges
8104;La plaine du Minervois vue des Garrigues
8105;Lacanau-Océan. Plage en 1939
8106;Maisons sur le Rec
8107;Bordeaux. Gabarres à quai
8341;Aquarelles
8491;Compositions
8590;Le Village qui flambe à l'heure méridienne
8730;Cyprès sur la Garrigue
8731;Garrigue et plaine de Lézignan
8732;La Corbière
8733;L'Etang de Gruissan et la vieille tour
8922;Paysage
8923;Paysage
9060;Collioure, l'église
9061;Collioure, le port
9062;Collioure, le fort
9063;Collioure, bateaux
9342;Peinture
9343;Peinture
9514;La mer à Banyuls
9669;Peinture
9808;Peinture
9809;Composition
7868;Lles Aldudes
8200;Condat-sur-Vézère
8201;Le Coly à Condat-sur-Vézère
8202;Etauliers. Vieux lavoir en hiver
7869;Nature-morte aux grenades
7968;Le guitariste
7969;Le joueur Mateo
7970;Nature morte
1872;Fleur de syphilis
1873;Beethoven
1874;Etude
1875;Nu (étude)
2591;Projet d'affiche
2592;L'élixir de longue vie. Hommage aux vins de Bordeaux (Gouache, affiches)
2593;L'élixir de longue vie. Hommage aux vins de Bordeaux (Gouache, affiches)
2594;Cigarettes gitane (gouache : affiches)
2595;Etude de tête de gitane
2596;Etude de tête de gitane
2597;Etude de tête de gitane
2598;Etudes en blanc et noir
2599;Etudes en blanc et noir
2600;Etudes en blanc et noir
2601;Château de Lavardin
2602;Etude
2603;Chez Phrasie
5201;Maisons blanches à Tossa
5202;Villa chinoise à Tossa
5353;La Place de la Constitution
9186;Après la course (1935)
9187;Maternité (1942)
9188;L'enfant à la tartine (1945)
9189;L'enfant à la pendule (1945)
9190;Fillettes au clavecin (1947)
9191;Nature morte (1947)
9515;Chaise au grenier
9516;Paire de sabots
9670;Tulipes
9671;Nature morte
9810;Marine
9811;Peinture
9812;Dalhias
9813;Arbres dénudés
5948;Paysage
5949;Paysage
3214;Composition
3937;Les Amis (composition)
4597;Nature morte aux poissons
4598;Portrait bleu
4599;Rêve bleu
4600;Tempête
4601;Prieuré de la Pénoch (Ile d'Oléron)
8426;"""Orion"""
8867;Préciosa
4602;Les apprêts de la fête
4603;Nature-Morte avec fleurs
4604;La récréation
4605;Etude-Fleurs
4606;Flore
2034;Le médecin
1232;Pointe de Suza, près Royan
1233;Le vieux pont : Viilleneuve-sur-Lot
1234;Vue sur le Lot, à Villeneuve
1235;Une cornière à Chasseneuil (Lot-et-Garonne)
1236;Vieilles maisons à Brantôme
1237;Rue de village en Dordogne
1238;Sur la route de Saint-Jean-de-Blaignac
1239;Ruines à La Sauve
3215;Moulin de Bourdeilles
3216;Brantôme. Maisons du quai Bertin
3217;Brantôme. Maisons sur la Dronne
3218;Pont de Bourdeilles
3219;Pavillon renaissance, Brantôme
3220;Moulin de Rocheyrol
3221;Coquelicots
3222;Paysan provençal
3223;Automne en Provence
5203;Paysage de Beauce
5204;Paysage de Beauce
5947;Composition
1240;Composition
1241;Composition
9192;Agneau et volailles (1946)
9193;Mendiant à l'harmonica (1946)
9194;Croquis pour le mendiant à l'harmonica (1946)
9195;Mendiant (1947)
9196;Nature morte au gril (1947)
9197;Barque de la lagune (1947)
9198;Poulet (1948)
9199;Poulet et panier à salade (1948)
9200;Poulet et panier à salade (1948)
9201;Fenêtre (1948)
3945;Chrysanthèmes
3946;Concarneau, effet de matin
3947;Périgueux, effet de neige
3948;Périgueux, effet de neige
3949;Mimosas
3950;Reines-marguerites
3951;Anémones
3952;Oranges
4614;Fleurs
4615;Fleurs
4616;Reines-marguerites
4617;Treignac (Corrèze) La Vézère
4618;Chaumières bretonnes
4619;Marine (Concarneau)
4620;Pardon de Fouesnant
4621;Paysage
4622;Treignac (Corrèze) Pont sur la Vézère
4623;Paysage
1250;Vieilles maisons : Périgueux
1251;Vieilles maisons : Périgueux
1252;Le Tréyas, marine
1253;Vieille chapelle, à Saint-Paul (A. M.)
1254;Tourette-sur-Loup (A. M.)
1255;Le Havre : basse mer
1882;Brantôme
1883;Brantôme
556;"Le Havre : le ""Flandre"""
557;Le Havre : trois-mâts
558;Le Havre : l'avant-port
559;Portrait de M. Arnoult-Grenilly
560;Vue de Périgueux
561;Fleurs
562;Nature morte
563;Coloquintes
564;Périgueux, rue des Quais
565;Le Havre : bassin des transatlantiques
566;Le Havre : bateau de Southampton
567;Le Havre : bateau de Southampton
568;Le Havre : bateau de Southampton
569;Le Havre : bateau de Southampton
570;"Le Havre : vue générale ; aquarelles et divers autres tableaux"
1242;Marine : Le Havre
1243;Portrait
1244;Nature morte
1245;Fleurs
1246;Périgueux : vieux moulin
1247;Sous-bois
1248;Eglise normande
1249;Intérieur
1876;Etude de vaches
1877;Périgueux, vieux quartier
1878;Périgueux, vieux quartier
1879;Sarlat
1880;Portrait (dessin)
1881;Brantôme
3938;Portrait
3939;Nature morte
3940;Barques à Concarneau
3941;Vieille rue à Périgueux
3942;Vieux moulin à Périgueux
3943;Femme en peignoir
3944;Anémones
4607;Baigneuses
4608;Marché à Concarneau
4609;Bassin à Concarneau
4610;Castelnaud temps gris
4611;Treignac (Corrèze) temps gris
4612;Treignac - Marché
4613;Nu
3953;Nature morte : Le rayon de soleil
3954;"""Au pont du Ciron"" sur le Viaur"
4624;Nature morte
4625;Un coin de jardin
4626;Paysage de mine
4627;Le barrage de Lescure
4628;Les tulipes
5205;Devant la glace
5206;La maison dans le parc
5207;Paysage
7156;Place de la Victoire
7157;Nu
7158;Gujan-Mestras (Bassin d'Arcachon)
7159;Les Martigues
7160;En Provence
7161;Portrait
7771;Les trois platanes
7772;Le pauvre pêcheur
7773;Février
7774;Fleurs
8108;Peinture
8109;Paysage Provençal
8110;Printemps bordelais
8111;Ambiance bleue
8342;Composition
8343;Bord du Bassin
8344;Cap-Ferret
8492;L'oiseau échappé
8493;Le bain de minuit
8591;La Sieste
8734;Nature morte
8924;Composition
9064;Remailleuses de filets à Collioure
9065;Port de Blaye
9344;Fenêtre ouverte sur le printemps
9345;Nature morte
9346;Soir au Cap-Ferret
9347;Jetée du Petit-Piquey
9517;Nature morte
9518;Paysage
9519;Fleurs d'artichaut
9672;L'écaillère
9673;Les Filets (Cap Ferret)
9674;Peinture
9814;L'écaillère (réservé)
3224;Soliman (Tunisie)
3225;Sidi-bou-Saïd (Tunisie)
3226;Portrait de jeune fille
3227;Jeune femme aux mains croisées
3228;Portrait du peintre Mainssieux
3229;Paysage
3955;Portrait
3956;Portrait
3957;Moulins sur la Creuse
3958;Ma chambre
3959;Rue Poussin
3960;Pierre
3961;Nu
3962;Tête de petite fille
4629;La communiante
4630;Cour de ferme
4631;Fleurs
4632;Portrait de Madame Nordquist
4633;Paysan jouant de la flûte
5208;Les religieuses
5209;Paysage de St-Paul
5210;St-Léon
5211;Nature morte
5212;Gitane au cheval
5213;Jeune fille gitane
5792;Le goûter d'anniversaire
5793;Pierrot
5794;Le petit berger
6364;Par elle-même
6365;Messe à la cathédrale
6366;Le mendiant
6367;Paysage
7407;Nature morte aux gants
7408;Après-midi aux Tuileries
7409;La pinasse renversée
7410;Etude
7775;Le gros châtaignier
8112;Nature morte
8113;Près de la fenêtre
8114;Pauline
8115;Françoise
8345;Nature morte
8346;Le joueur de flûte
8494;Nature morte aux coquillages
8495;Etude
8592;"""La Feria"" (composition)"
8735;Nature morte aux raisins
8925;Nu
8926;La route de Mens
9066;Arlequin et les jeunes filles
9348;La robe rouge
9520;Porteuse d'eau
9521;Le village
9675;Nature morte
9676;Paysage
9815;En visite
9816;Portrait (n'est pas à vendre)
8593;La Veillée
8594;Portrait (buste)
8595;L'usine
8766;L'Usine
6368;Etude sur le Dropt, Gironde
6369;Etude Bord de Garonne à Saint-Macaire
6370;Automne (Eglise de St-Loubert, Gironde)
6371;Vieilles maisons à St-Macaire
6372;Etude au couteau (Orage) Bords de Garonne
8203;Vue de Sauveterre-de-Guyenne
8204;La forêt hantée (St-Cast)
8205;Vue de Saint-Palais-sur-Mer
9202;Venise, Canal de la Giudecca (1947)
9203;Fleurs (1947)
9204;Venise, Canal de la Giudecca (1947)
9205;Venise, San Giorgio Maggiore (1947)
9206;Venise, chantier à Burano (1947
3963;Le petit déjeuner
3964;Nature morte plein air
5363;Rugby
1256;Intérieur
9207;Fillette en rouge (1947)
9208;Vieux gondolier (1948)
9209;Chantier à Chiogga (1948)
8418;Composition
8868;Crucifié
3965;Dune au cap Ferret
3966;Barques
3967;Campagne
3968;Portrait
3969;Nu
5214;Argentièires
5215;Bord de l'Oise
5795;Le Lot
5796;Anaia (Portrait)
3970;La Marne à Charenton
3971;Boulogne-sur-Mer, Bassin
3972;Route de Provins
3973;Servon, coin de village
5216;Banlieue
5217;Jetée de St-Valéry
1257;La Garenne : Talence
1258;Les tomates
1259;Coin de Canéjan
1884;Eglise de Marans (Ch.-Inf.)
1885;Eglise de Saint-Georges-de-Montagne
1886;Nature morte
1887;Coin de la Carrière Marine
1888;Marine
1889;"""Les fous n'ont pas d'époque"
1260;Dunes à Soulac
1261;Moulin à Bourdeilles
9210;Venise, le Grand Canal (1948)
7411;Fleurs
7412;Aïnoka (Pays basque)
7413;Quais de Bordeaux (Juillet 1938)
7414;Quais de Bordeaux (Octobre 1938)
7415;Amsterdam
7776;La Martiniquaise
7777;Les quais de Bordeaux, 1939
7778;Les tulipes. Fleurs
7779;Zinnias et gerbe d'or
7780;Saint-Tropez
7781;Saint-Tropez
8116;Fleurs
8117;Amsterdam
8118;Lac du Bourget
8347;La ballerine
8348;Cap-Ferret (soir d'orage)
8349;Cap-Ferret
8496;Paysage
8497;Portrait
8596;Nature morte
8736;Bouquet d'automne
8737;Les Sables Cap-Ferret
8738;Le Sémaphore
8927;Fontaine au bouquet
9522;Espagne
9523;Femme au bar
9677;Jardin Japonais
9678;Peinture (étude pour portrait)
9817;Bouquet de printemps
9818;Peinture
1890;Portrait de Mme A. P.
1891;Portrait de Mlle Loulou à 2 ans
1892;Bordeaux. Monument des Girondins
1893;Nature morte
1894;Pyrénées. Lac d'Oo
1895;Pyrénées. Val de Lutour
1896;Pau. Chaîne des Pyrénées
1897;Pyrénées. Pau. Le Pic du Midi de Bigorre
1898;Pyrénées. Vallée et chpelle de Héas
1899;Dordogne. Ribérac. Pont de la Pêcherie
1900;Dordogne. St-Méard-de-Dronne
1901;Dordogne. Château de Beynac
1902;Dordogne. Château de Dussac
1903;Dordogne. Piégut. Donjon du XIIIe
1969;Le Prisonnier
1970;Rationalisation
9211;Jeune femme cousant (1935)
9212;Fillette à la grenade (1948)
571;Fleurs
3230;Le chien de faïence
3231;Huîtres et oursins
3232;Matelot assis
3233;La vieille maison
3234;"La ""poule morte"""
3235;Les pêcheurs
3236;Le chemin
3237;Les roulottes
3238;Les vieilles maisons
3239;Le chemin
3240;Les barraques
3241;La maison au soleil
3242;Vieille usine
3243;Portrait
3974;Eglise de banlieue
3975;Paysage
3976;La nuit (détrempe)
3977;Chemin
3978;Chemin
3979;Paysage
3980;Le repos
3981;Paysage
3982;Les Paveurs
3983;Le Paveur
3984;Sous les arbres
4634;Paysage
4635;Jardin
4636;Impasse
4637;Eglise
4638;Chemin
4639;Chemin
4640;Dimanche
4641;Jardin
4642;Chai
4643;Chemin
4644;Mes coings
7267;Paysage
7268;Nature morte
7269;Paysage (Détrempe)
7270;Paysage (Détrempe)
8206;Les vieux
9381;[sans titre]
797;"Baron Seillières : ""Nadeschda"", ill de H. Farges"
798;"J.-B. Lin : ""Pao-Se"", avec des aquar. chinoises"
799;"""L'apocalypse"", de Saint-Jean, bois de R. Pottier"
800;"Bernardin de Saint-Pierre : ""Paul et Virginie"", aqu. de J. Droit"
801;Fromentin : Dominique, aquar. de P. Brissaud
