identifiant;titre
5848;Buste de jeune fille (patiné d'or)
2734;Nature morte n°642
2735;Nature morte n°643
2736;Suite d'illustration pour le Fonds des Yeux, de René Lacôte (édition Demain) : les 2, 250 fr
2737;Instantanés. Ill. d'un poème de Louis Guillaume
2738;Au paradis. Ill. d'un poème de Louis Guillaume
2739;Le Rayon de lune dans l'Atelier. Ill. d'un poème de Mme Madeleine Beloni
2740;Dans un cercueil de sapin. Ill. d'un poème de Mme Madeleine Beloni
2741;La Seine. Ill. d'un poème de J. M. Lambert
2742;Banlieue
65;Fenêtre
66;Fleurs de printemps
67;Fleurs d'automne
68;Collioure
69;Eté, à l'Herbe
70;Le port de l'Herbe
71;"Lac d'Annecy ; gouache"
72;"Lac d'Annecy ; gouache"
73;"Bouleaux à Cernay ; gouache"
843;Vieux Nérac
844;Vieux Nérac
845;Vieux Nérac. Le pont
846;Paysage. Nérac
847;Printemps à Boutaut
848;Etudes d'arbres
849;Collioure
850;Intérieur
851;Nature morte aux pommes vertes
852;Fleurs
853;Fleurs
854;Fleurs
855;Vieux Nérac
856;Vieux Nérac
1399;Masques
1400;Chrysanthèmes d'été
1401;Capucines au parapluie
1402;Anémones et Renoncules
1403;La rue Condorcet
1404;Chemin des cressonnières
1405;La petite maison dansles marais
1406;Lapins
1407;Lapins
2134;Foire Saint-Fort
2135;Citronnade
2136;Tomates
2137;Portrait de Mlle M. M… esquisse
2138;Fenêtre
2139;D'une lucarne
2140;Aubergines
2141;Campanules et capucines
2142;La chaise encombrée
2743;Nu
2744;La carafe verte (nature morte)
2745;Assiette de fruits
2746;Les prunes d'Ente
2747;Coquelicots
2748;Fleurs
2749;Fleurs
2750;Arbres
2751;Paysage
3436;Le Petit réverbère de la Place de Luze
3437;Maison dans les marais
3438;Vue de Martel (Lot)
3439;Femme au collier vert
3440;Bouquet
3441;Tête d'enfant
3442;Paysage de Quercy
3443;La Place Gambetta à Martel
3444;Bouquet
3445;Bergerie en Quercy
4137;Vieillard souffrant
4138;Pots de fleurs à la fenêtre
4139;Le bouquet au jardin
4140;Nature morte
4141;Paysage mouillé
4142;Paysage
4143;Reines Marguerites
4144;Panneau de fleurs
4759;Nature morte d'hiver
4760;Portrait
4761;Bouquet au jardin
4762;Bouquet au jardin
4763;Tulipes
4764;Les deux chemins, La Tresne
4765;Fleurs
4766;Fleurs
5406;Figure au Camaïeu rose
5407;Tulipes d'Hiver
5408;Bouquet léger
5409;Yuccas à l'Herbe (Cassin d'Arcachon)
5410;Bouquet à la table verte
5411;Figure au fond du jardin
5412;Bleu et vert
5987;"""Il Pensieroso"""
5988;Jeune fille
5989;Paysage
5990;Les Arcades
5991;Iris d'Espagne
5992;Harmonie bleue
5993;Bouquet au Jardin
5994;Primevères
6506;Portrait de Mme C.
6507;Bouquet à la chaise de jardin
6508;Paysage pyrénéen
6509;Nature morte
6510;Nature morte
6511;Fleurs, fond bleu
6512;Fleurs, fond rose
6513;Dalhias sombres
7167;Bouquet au jardin
7168;Nature morte d'hiver
7599;Fleurs
7600;Paysage d'automne
7976;Jeune femme au jardin
7977;Paysage
8232;Peinture
8233;Peinture
8234;Composition
8429;Peinture
8514;Nature morte aux masques
8657;Bouquet, mon beau souci
8658;L'éventail noir
8872;Nature morte
8873;Nature morte
8973;Le cactus
8974;Bouquet dans le jardin
9251;Nature morte
9252;Paysage
9393;Nature morte
9394;La Poule blanche
9395;Jardin
9579;Nature morte
9580;Nature morte
9722;Le store baissé
9723;Jardin exotique
5995;La Ferasse
5996;Eucalipt
5997;Nu couché
5998;La chemise ose
6514;La poire
6515;La pomme
6516;Le muguet
6517;Paysage
1940;La Volupté (pierre artificielle)
2657;L'essor (bronze)
2658;Femme (bois)
3364;Susanne (buis)
3365;Bois peint
4078;Femme drapée (sculpture en bois noir)
4079;Relief peint (dualisme)
4724;Flottante (palissandre)
4725;Hamlet (bois noir)
5290;Bas-relief peint à l'huile
5291;Sculpture en bois
8235;Peinture
3446;Nature morte africaine
3447;Nature morte à la pipe
3448;Paysage aux saules
3449;Maisons
3450;Nature morte aux poissons rouges
3451;Paysage
3452;Rue du Serpolet
3453;Oiseau mort (gravure au burin)
3454;Paysage en Dordogne (gravure au burin)
3455;L'intermède au cinéma (Rome)
7295;Arbres au Printemps
7296;L'allée
7297;Prairies en Dordogne
7298;Les saules
7299;Les collines
7300;Les coteaux de Malanqui (Burin)
7301;Le hibou (Burin)
7302;Le bar du Serpent (Londres) (Burin)
7303;L'aiglon (Burin)
7304;Le petit bouquet (Burin)
7305;Nature morte au chien (PS)
7306;Les chardons
7307;Nu étendu
7308;L'église de Lescun
8236;Crépuscule au canal
8237;Bords de la Somme
8430;Rivière (pointe sèche)
8431;La futaie (eau forte)
8516;Paysage de Mikonos (Grèce)
8517;Nu à la licorne
9133;Nature morte au couteau rouge (1948)
5413;La Rochelle
5414;La Rochelle
5415;Bandol
5416;Madagascar
5417;Madagascar
5418;Portrait d'enfant
8846;Banlieue toulousaine
4145;La Penya (Ibiza-Baléares)
4146;Vue de Calvi (Corse)
4767;Chine (Nature morte)
4768;Calla San Vicenté (Mallorca)
5282;Cour
2143;Un coin de St-Médard-en-Jalles
2752;Sous-bois
2753;Marine
5419;Bouquet
5420;Nature morte
5421;Paysage
656;"Henri de Régnier, L'amoru et le plaisir, ill par R. Maccarthy ; lithogr mises en couleurs par Marcel Renot (Livre)"
